DI water2,
8/19/16 12:30,
Wavelength (nm),Absorbance
258,-0.000019
257.5,-0.000219
257,0.000061
256.5,-0.000125
256,0.000046
255.5,0.00005
255,-0.000162
254.5,-0.000052
254,-0.000067
253.5,-0.000226
253,0.000071
252.5,-0.000165
252,0.000082
251.5,-0.00001
251,0.000055
250.5,-0.000107
250,-0.000092
249.5,-0.000161
249,0.000003
248.5,0.000115
248,-0.000141
247.5,-0.00007
247,-0.000071
246.5,0.000064
246,-0.000123
245.5,-0.000024
245,0.00004
244.5,-0.000156
244,-0.000096
243.5,-0.000069
243,-0.000025
242.5,-0.000017
242,-0.000051
241.5,-0.000155
241,0.000099
240.5,-0.000012
240,-0.00008
